sno,NAME,LOCATION,capacity,LAT,LON,website,picture
1,ISKCON Temple,Bangalore,68000,13.00813,77.548622,/Catt1,https://source.unsplash.com/1920x1080/?Temple
2,Cubbon Park ,Bangalore,50000,12.97457,77.59238,/Catt2,https://source.unsplash.com/1920x1080/?Cubbon park
3,Wonderla Amusement Park,Bangalore,41820,12.834553,77.40097,/Catt3,https://source.unsplash.com/1920x1080/?Wonderla
4,The Art of Living International Center,Bangalore,25000,12.825703,77.511223,/Catt4,https://source.unsplash.com/1920x1080/?Art
5,Lalbagh Botanical Garden,Bangalore,32000,12.950711,77.584511,/Catt5,https://source.unsplash.com/1920x1080/?Plants
6,UB City,Bangalore,40000,12.971708,77.596031,/Catt6,https://source.unsplash.com/1920x1080/?UB City
7,Visvesvaraya Industrial and Technological Museum,Bangalore,,12.975223,77.59634,/Catt7,https://source.unsplash.com/1920x1080/?Techno Museum
8,Bannerghatta National Park,Bangalore,,12.800833,77.575554,/Catt8,https://source.unsplash.com/1920x1080/?Zoo
9,Commercial Street,Bangalore,,12.982309,77.608021,/Catt9,https://source.unsplash.com/1920x1080/?Bangalore
10,Bull Temple,Bangalore,,12.956113,77.567505,/Catt10,https://source.unsplash.com/1920x1080/?Bull Temple
11,Phoenix Marketcity,Bangalore,,12.99685,77.696411,,https://source.unsplash.com/1920x1080/?Marketcity
12,Dooda Ganapathi Temple,Bangalore,,12.942807,77.568367,,https://source.unsplash.com/1920x1080/?Ganehsa Temple
13,Vidhana Soudha ,Bangalore,,12.979489,77.590889,,https://source.unsplash.com/1920x1080/?Vidhana Soudha
14,Heritage Centre and Aerospace Museum,Bangalore,,12.955034,77.681236,,https://source.unsplash.com/1920x1080/?Aerospace Centre
15,Bangalore Palace,Bangalore,,12.99867,77.592072,,https://source.unsplash.com/1920x1080/?Bangalore Palace
16,Shrungagiri Shri Shanmukha Temple,Bangalore,,12.914606,77.528992,,https://source.unsplash.com/1920x1080/? Temple
17,Shivoham shiva temple,Bangalore,,12.958356,77.656555,,https://source.unsplash.com/1920x1080/?Shiva Temple
18,Innovative Film City,Bangalore,,12.77793,77.415024,,https://source.unsplash.com/1920x1080/?Film City
19,Tipu Sultan's Summer Palace,Bangalore,,12.95934,77.57362,,https://source.unsplash.com/1920x1080/?Tipu Sultan
20,Indian Music Experience Museum,Bangalore,,12.891632,77.583733,,https://source.unsplash.com/1920x1080/?Music Museum
