sno,NAME,LOCATION,capacity,LAT,LON,website,picture
1,Shaniwar Wada Palace,Pune,68000,18.5181,73.8533,/Patt1,https://www.treebo.com/blog/wp-content/uploads/2016/01/Shaniwar-Wada-Palace.jpg
2,Aga khan Palace,Pune,50000,18.5525,73.9015,/Patt2,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/e7/79/24/aga-khan-palace.jpg?w=600&h=-1&s=1
3,Parvati Hill,Pune,41820,18.4949,73.8441,/Patt3,https://upload.wikimedia.org/wikipedia/commons/9/95/Parvati.JPG
4,Sinhagad Fort,Pune,25000,18.3663,73.7559,/Patt4,https://www.treebo.com/blog/wp-content/uploads/2018/02/Sinhagad-Fort-1.jpg
5,ISCKON NVCC Temple,Pune,32000,18.4478,73.8807,/Patt5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6f/c5/16/iskcon-nvcc-temple.jpg?w=1200&h=-1&s=1
6,National War Museum,Pune,40000,18.522,73.891,/Patt6,https://www.treebo.com/blog/wp-content/uploads/2016/01/National-War-Museum.jpg
7,Phoenix Market City,Pune,,18.5621,73.9167,/Patt7,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/9c/f3/75/phoenix-market-city.jpg?w=600&h=-1&s=
8,Rajiv Ghandi Zoological Park,Pune,,18.4529,73.8611,/Patt8,https://www.treebo.com/blog/wp-content/uploads/2016/01/Rajiv-Gandhi-Zoological-Park.jpg
9,Raja Dinkar Kelkar Museum,Pune,,18.5107,73.8544,/Patt9,https://www.treebo.com/blog/wp-content/uploads/2016/01/Raja-Dinkar-Kelkar-Museum.jpg
10,Lal Mahal,Pune,,18.5187,73.8566,/Patt10,https://www.treebo.com/blog/wp-content/uploads/2016/01/Lal-Mahal.jpg
11,Dagadusheth Halwai Ganapati Temple,Pune,,18.51639,73.855835,,https://source.unsplash.com/1920x1080/?Dagdusheth Halwai
12,Amanora Mall,Pune,,18.518955,73.943062,,https://source.unsplash.com/1920x1080/?Amanora
13,Tamhini Ghat,Pune,,18.44934,73.42272,,https://source.unsplash.com/1920x1080/?Tamhini Ghat
14,Patalehswar Temple ,Pune,,18.52692,73.849861,,https://source.unsplash.com/1920x1080/?Caves
